model	gene	Percentage_overlap	Percentage_off_target
Dl15_train_cons_Test_Dl09_1000	brk	0	100
Dl15_train_cons_Test_Dl15_1500	sna	23	77
Dl15_train_cons_Test_Zld_1500	brk	30	70
Dl15_train_cons_Test_Zld_1500	eve	0	100
Dl15_train_cons_Test_Dl15_500	rho	0	100
Dl15_train_cons_Test_Zld_1000	eve	0	100
Dl15_train_cons_Test_Twi14_2000	hb	50	50
Dl15_train_cons_Test_Dl15_500	eve	0	100
Dl15_train_cons_Test_Dl09_1000	Kni	0	100
Dl15_train_cons_Test_Twi14_1500	rho	33.3333333333	66.6666666667
Dl15_train_cons_Test_Dl09_1000	sog	43.3333333333	56.6666666667
Dl15_train_cons_Test_Dl15_2000	eve	50	50
Dl15_train_cons_Test_Dl15_2000	hb	50	50
Dl15_train_cons_Test_Zld_1000	brk	50	50
Dl15_train_cons_Test_Dl15_1500	eve	75	25
Dl15_train_cons_Test_Twi14_2000	sna	45	55
Dl15_train_cons_Test_Zld_500	eve	0	100
Dl15_train_cons_Test_Zld_2000	sog	45	55
Dl15_train_cons_Test_Dl09_2000	sna	29.5	70.5
Dl15_train_cons_Test_Zld_1500	sna	45.3333333333	54.6666666667
Dl15_train_cons_Test_Dl09_1500	Kni	0	100
Dl15_train_cons_Test_Zld_500	hb	0	100
Dl15_train_cons_Test_Zld_2000	brk	66.6666666667	33.3333333333
Dl15_train_cons_Test_Dl15_2000	Kr	50	50
Dl15_train_cons_Test_Dl15_500	sna	0	100
Dl15_train_cons_Test_Dl15_1000	sna	0	100
Dl15_train_cons_Test_Twi14_500	eve	0	100
Dl15_train_cons_Test_Dl09_1000	sna	0	100
Dl15_train_cons_Test_Zld_2000	hb	48.3333333333	51.6666666667
H3K4me1_train_all_Test_Zld_500	vnd	0	100
H3K4me1_train_all_Test_Twi14_500	rho	0	70
H3K4me1_train_all_Test_Twi14_1000	eve	38	62
H3K4me1_train_all_Test_Dl15_1500	brk	50	50
H3K4me1_train_all_Test_Dl15_1000	rho	90	0
H3K4me1_train_all_Test_Dl15_500	vnd	0	100
H3K4me1_train_all_Test_Dl15_2000	brk	45	55
